lat,lon,risk,row,col
1118253.3428608703,650009.469215034,1.0,410,1307
1118253.3428608703,650019.469215034,1.0,410,1308
1118253.3428608703,650029.469215034,1.0,410,1309
1118253.3428608703,650039.469215034,1.0,410,1310
1118253.3428608703,650049.469215034,1.0,410,1311
1118253.3428608703,650059.469215034,1.0,410,1312
1118253.3428608703,650069.469215034,1.0,410,1313
1118253.3428608703,650079.469215034,1.0,410,1314
1118253.3428608703,650089.469215034,1.0,410,1315
1118253.3428608703,650279.469215034,1.0,410,1334
1118253.3428608703,650289.469215034,1.0,410,1335
1118253.3428608703,650299.469215034,1.0,410,1336
1118253.3428608703,650309.469215034,1.0,410,1337
1118253.3428608703,650319.469215034,1.0,410,1338
1118253.3428608703,650329.469215034,1.0,410,1339
1118253.3428608703,650339.469215034,1.0,410,1340
1118243.3428608703,650029.469215034,1.0,411,1309
1118243.3428608703,650039.469215034,1.0,411,1310
1118243.3428608703,650049.469215034,1.0,411,1311
1118243.3428608703,650059.469215034,1.0,411,1312
1118243.3428608703,650069.469215034,1.0,411,1313
1118243.3428608703,650079.469215034,1.0,411,1314
1118243.3428608703,650089.469215034,1.0,411,1315
1118243.3428608703,650279.469215034,1.0,411,1334
1118243.3428608703,650289.469215034,1.0,411,1335
1118243.3428608703,650299.469215034,1.0,411,1336
1118243.3428608703,650309.469215034,1.0,411,1337
1118243.3428608703,650319.469215034,1.0,411,1338
1118243.3428608703,650329.469215034,1.0,411,1339
1118233.3428608703,650029.469215034,1.0,412,1309
1118233.3428608703,650039.469215034,1.0,412,1310
1118233.3428608703,650049.469215034,1.0,412,1311
1118233.3428608703,650059.469215034,1.0,412,1312
1118233.3428608703,650069.469215034,1.0,412,1313
1118233.3428608703,650079.469215034,1.0,412,1314
1118233.3428608703,650089.469215034,1.0,412,1315
1118233.3428608703,650279.469215034,1.0,412,1334
1118233.3428608703,650289.469215034,1.0,412,1335
1118233.3428608703,650299.469215034,1.0,412,1336
1118233.3428608703,650309.469215034,1.0,412,1337
1118233.3428608703,650319.469215034,1.0,412,1338
1118223.3428608703,650039.469215034,1.0,413,1310
1118223.3428608703,650049.469215034,1.0,413,1311
1118223.3428608703,650059.469215034,1.0,413,1312
1118223.3428608703,650069.469215034,1.0,413,1313
1118223.3428608703,650079.469215034,1.0,413,1314
1118223.3428608703,650089.469215034,1.0,413,1315
1118223.3428608703,650109.469215034,1.0,413,1317
1118223.3428608703,650119.469215034,1.0,413,1318
